category,symbol_name,name_cn,unicode,module,usage
隐私安全,sys.symbol.hand_raised_hexagon_fill,骚扰电话,F0487,通信社交,骚扰拦截
隐私安全,sys.symbol.key_horizontal,车钥匙,F049B,钱包,数字钥匙
隐私安全,sys.symbol.key_shield,密钥保护,F049E,隐私和安全,安全设置
隐私安全,sys.symbol.key_shield_fill,超级隐私,F049D,超级隐私,隐私保护
隐私安全,sys.symbol.nearlink,星闪,F075C,隐私和安全,近场通信
隐私安全,sys.symbol.person_shield,隐私管理,F04DE,智慧助手,隐私设置
隐私安全,sys.symbol.person_shield_fill,隐私声明,F04DD,隐私规范涉及,隐私政策
隐私安全,sys.symbol.staroflife_rectangle,密码登录,F04F8,SDK,密码认证
隐私安全,sys.symbol.touchid,指纹,F0507,锁屏AOD,指纹识别
隐私安全,sys.symbol.vpn_key,VPN,F078F,状态栏,VPN连接
人物,sys.symbol.children,少儿,F0663,华为视频,儿童模式
人物,sys.symbol.ear,耳朵,F05C9,APP,聆听功能
人物,sys.symbol.face,人脸,F05CA,身份验证,人脸识别
人物,sys.symbol.face_smiling,笑脸,F05D0,输入法,表情符号
人物,sys.symbol.figure_arms_open,站立,F05D1,APP,站立提醒
人物,sys.symbol.figure_running,跑步,F07D5,智慧助手,运动模式
人物,sys.symbol.person,用户,F05E5,输入法,账号入口
人物,sys.symbol.person_2,多人,F05DC,邮件,添加联系人
人物,sys.symbol.person_2_fill,合并,F05DB,图库,合并联系人
人物,sys.symbol.person_badge_plus,添加人像,F05DF,图库,添加人物
人物,sys.symbol.person_crop_circle_fill_1,我的,F05F3,主题,个人中心
人物,sys.symbol.person_filled_badge_plus,添加成员,F05E4,通信社交,邀请成员
人物,sys.symbol.person_filled_viewfinder,随影人动开,F0579,通信社交,追踪模式
人物,sys.symbol.person_square_fill,随影人动关,F057A,通信社交,关闭追踪
人物,sys.symbol.portrait,人像,F05C7,相机,人像模式
形状,sys.symbol.circle,圆形,F0007,锁屏AOD,圆形图标
形状,sys.symbol.oval,椭圆,F034B,截录屏,椭圆形状
形状,sys.symbol.rectangle,矩形,F0070,截录屏,矩形形状
形状,sys.symbol.rectangle_split_3x1,分栏视图,F0528,文管,三列布局
形状,sys.symbol.rotate_left,旋转,F0364,图库,左旋转
形状,sys.symbol.smallcircle_filled_circle,粗细,F0169,截录屏,线条粗细
形状,sys.symbol.square,方形,F0075,截录屏,正方形
交通出行,sys.symbol.local_fill,定位,F01B8,图库,当前位置
交通出行,sys.symbol.location_north_up_right_circle_fill,距离,F080D,通信社交,距离显示
交通出行,sys.symbol.map,地图,F01C2,APP,显示地图
交通出行,sys.symbol.map_badge_local,地图定位,F01C0,查找设备,地图位置
交通出行,sys.symbol.map_slash,隐藏地图,F01C3,APP,关闭地图
交通出行,sys.symbol.navigation,导航,F0810,查找设备,路线导航
交通出行,sys.symbol.position,位置,F01CA,隐私和安全,定位设置
交通出行,sys.symbol.route_plan,路线规划,F07E4,钱包,规划路线
交通出行,sys.symbol.satellite_map,卫星地图,F0775,APP,卫星视图
交通出行,sys.symbol.satellite_map_fill,卫星地图填充,F0774,APP,卫星选中
